id,nome,posição,idade,data_nascimento,nacionalidade,time,id_liga,liga,total_chutes,chutes_no_gol,gols,gols_sofridos,assistências,defesas,total_passes,passes_chaves,índice_passes_certos,desarmes,dribles_tentados,dribles_realizados,faltas_sofridas,faltas_cometidas,total_jogos,minutos_jogados,jogos_escalados,chutes/min,chutes_no_gol/min,gols/min,sofridos/min,assistências/min,defesas/min,passes/min,passes_chaves/min,desarmes/min,dribles_tentados/min,dribles_realizados/min,faltas_sofridas/min,faltas_cometidas/min
10012,Douglas Friedrich,Goalkeeper,33,12/12/1988,Brazil,Bahia,1396.0,Brasileiro Série A,0,0,0,39,0,61,424,0,17,0,0,0,5,0,26,2273,26,0.0,0.0,0.0,0.01715794104707435,0.0,0.026836779586449627,0.18653761548614167,0.0,0.0,0.0,0.0,0.002199736031676199,0.0
197051,Matheus Bahia,Defender,22,11/08/1999,Brazil,Bahia,1396.0,Brasileiro Série A,6,2,0,0,1,0,261,11,23,23,20,13,14,15,9,730,9,0.00821917808219178,0.0027397260273972603,0.0,0.0,0.0013698630136986301,0.0,0.35753424657534244,0.015068493150684932,0.031506849315068496,0.0273972602739726,0.01780821917808219,0.019178082191780823,0.02054794520547945
10015,Nino Paraíba,Defender,35,10/01/1986,Brazil,Bahia,1396.0,Brasileiro Série A,15,5,1,0,3,0,800,23,28,46,43,20,31,37,28,2179,24,0.006883891693437357,0.002294630564479119,0.0004589261128958238,0.0,0.0013767783386874712,0.0,0.36714089031665903,0.010555300596603947,0.021110601193207894,0.01973382285452042,0.009178522257916476,0.014226709499770536,0.01698026617714548
10376,Zeca,Defender,27,16/05/1994,Brazil,Bahia,1396.0,Brasileiro Série A,5,2,1,0,0,0,226,4,49,1,2,2,1,3,9,420,4,0.011904761904761904,0.004761904761904762,0.002380952380952381,0.0,0.0,0.0,0.5380952380952381,0.009523809523809525,0.002380952380952381,0.004761904761904762,0.004761904761904762,0.002380952380952381,0.007142857142857143
10481,Juninho Capixaba,Defender,24,06/07/1997,Brazil,Bahia,1396.0,Brasileiro Série A,11,3,0,0,5,0,908,33,40,47,42,26,30,22,22,1736,19,0.006336405529953917,0.0017281105990783411,0.0,0.0,0.002880184331797235,0.0,0.5230414746543779,0.019009216589861752,0.02707373271889401,0.024193548387096774,0.014976958525345621,0.01728110599078341,0.012672811059907835
9912,Juninho,Defender,26,01/02/1995,Brazil,Bahia,1396.0,Brasileiro Série A,12,4,2,0,0,0,975,3,41,26,7,6,10,6,26,2294,25,0.0052310374891020054,0.0017436791630340018,0.0008718395815170009,0.0,0.0,0.0,0.42502179598953793,0.0013077593722755014,0.011333914559721011,0.003051438535309503,0.0026155187445510027,0.004359197907585004,0.0026155187445510027
10022,Ernando,Defender,33,17/04/1988,Brazil,Bahia,1396.0,Brasileiro Série A,12,7,1,0,1,0,870,8,41,15,9,5,5,17,23,2049,23,0.005856515373352855,0.003416300634455832,0.0004880429477794046,0.0,0.0004880429477794046,0.0,0.424597364568082,0.003904343582235237,0.007320644216691069,0.004392386530014641,0.002440214738897023,0.002440214738897023,0.008296730112249878
10024,Lucas Fonseca,Defender,36,02/08/1985,Brazil,Bahia,1396.0,Brasileiro Série A,2,1,0,0,0,0,392,1,31,9,2,2,5,8,12,998,12,0.002004008016032064,0.001002004008016032,0.0,0.0,0.0,0.0,0.3927855711422846,0.001002004008016032,0.009018036072144289,0.002004008016032064,0.002004008016032064,0.00501002004008016,0.008016032064128256
9953,Anderson Martins,Defender,34,21/08/1987,Brazil,Bahia,1396.0,Brasileiro Série A,4,1,1,0,0,0,240,2,35,2,4,3,2,8,7,450,5,0.008888888888888889,0.0022222222222222222,0.0022222222222222222,0.0,0.0,0.0,0.5333333333333333,0.0044444444444444444,0.0044444444444444444,0.008888888888888889,0.006666666666666667,0.0044444444444444444,0.017777777777777778
10094,Rodriguinho,Midfielder,33,27/03/1988,Brazil,Bahia,1396.0,Brasileiro Série A,24,15,4,0,1,0,353,13,25,10,32,20,30,18,21,1195,15,0.0200836820083682,0.012552301255230125,0.0033472803347280333,0.0,0.0008368200836820083,0.0,0.295397489539749,0.010878661087866108,0.008368200836820083,0.026778242677824266,0.016736401673640166,0.02510460251046025,0.01506276150627615
64032,Edson,Midfielder,23,24/04/1998,Brazil,Bahia,1396.0,Brasileiro Série A,2,0,0,0,0,0,215,2,14,13,5,3,14,6,12,501,7,0.003992015968063872,0.0,0.0,0.0,0.0,0.0,0.4291417165668663,0.003992015968063872,0.02594810379241517,0.00998003992015968,0.005988023952095809,0.027944111776447105,0.011976047904191617
10167,Ronaldo,Midfielder,25,23/10/1996,Brazil,Bahia,1396.0,Brasileiro Série A,8,2,0,0,1,0,636,5,43,46,12,8,12,31,19,1356,15,0.0058997050147492625,0.0014749262536873156,0.0,0.0,0.0007374631268436578,0.0,0.4690265486725664,0.003687315634218289,0.03392330383480826,0.008849557522123894,0.0058997050147492625,0.008849557522123894,0.022861356932153392
10031,Gregore,Midfielder,27,02/03/1994,Brazil,Bahia,1396.0,Brasileiro Série A,16,5,0,0,3,0,1429,21,54,58,37,30,19,78,26,2247,26,0.007120605251446373,0.0022251891410769915,0.0,0.0,0.0013351134846461949,0.0,0.6359590565198042,0.009345794392523364,0.0258121940364931,0.016466399643969738,0.01335113484646195,0.008455718736092568,0.03471295060080107
