id,nome,posição,idade,data_nascimento,nacionalidade,time,id_liga,liga,total_chutes,chutes_no_gol,gols,gols_sofridos,assistências,defesas,total_passes,passes_chaves,%passes_certos,desarmes,dribles_tentados,dribles_realizados,faltas_sofridas,faltas_cometidas,total_jogos,minutos_jogados,jogos_escalados,chutes/min,chutes_no_gol/min,gols/min,sofridos/min,assistências/min,defesas/min,passes/min,passes_chaves/min,desarmes/min,dribles_tentados/min,dribles_realizados/min,faltas_sofridas/min,faltas_cometidas/min
10012,Douglas Alan Schuck Friedrich,Goalkeeper,33,12/12/1988,Brazil,Bahia,1396.0,Brasileiro Série A,0,0,0,37,0,56,361,0,16,0,0,0,5,0,24,2093,24,0.0,0.0,0.0,0.017677974199713332,0.0,0.026755852842809364,0.17247969421882464,0.0,0.0,0.0,0.0,0.0023889154323936935,0.0
197051,Matheus Bahia,Defender,22,11/08/1999,Brazil,Bahia,1396.0,Brasileiro Série A,3,1,0,0,1,0,180,6,24,10,12,8,6,10,6,463,6,0.0064794816414686825,0.0021598272138228943,0.0,0.0,0.0021598272138228943,0.0,0.38876889848812096,0.012958963282937365,0.02159827213822894,0.02591792656587473,0.017278617710583154,0.012958963282937365,0.02159827213822894
10015,Severino do Ramo Clementino da Silva,Defender,35,10/01/1986,Brazil,Bahia,1396.0,Brasileiro Série A,12,4,1,0,3,0,748,22,29,44,41,19,25,34,26,1999,22,0.006003001500750375,0.002001000500250125,0.0005002501250625312,0.0,0.0015007503751875938,0.0,0.3741870935467734,0.011005502751375688,0.022011005502751375,0.02051025512756378,0.009504752376188095,0.01250625312656328,0.017008504252126064
10376,Zeca,Defender,27,16/05/1994,Brazil,Bahia,1396.0,Brasileiro Série A,5,2,1,0,0,0,226,4,49,1,2,2,1,3,9,420,4,0.011904761904761904,0.004761904761904762,0.002380952380952381,0.0,0.0,0.0,0.5380952380952381,0.009523809523809525,0.002380952380952381,0.004761904761904762,0.004761904761904762,0.002380952380952381,0.007142857142857143
10481,Juninho Capixaba,Defender,23,06/07/1997,Brazil,Bahia,1396.0,Brasileiro Série A,11,3,0,0,5,0,890,33,44,45,41,25,29,22,20,1713,19,0.00642148277875073,0.0017513134851138354,0.0,0.0,0.002918855808523059,0.0,0.5195563339171045,0.01926444833625219,0.02626970227670753,0.023934617629889084,0.014594279042615295,0.016929363689433742,0.01284296555750146
9912,Juninho,Defender,26,01/02/1995,Brazil,Bahia,1396.0,Brasileiro Série A,10,4,2,0,0,0,833,2,42,23,5,4,9,6,23,2024,22,0.004940711462450593,0.001976284584980237,0.0009881422924901185,0.0,0.0,0.0,0.4115612648221344,0.0009881422924901185,0.011363636363636364,0.0024703557312252965,0.001976284584980237,0.004446640316205534,0.0029644268774703555
10022,Ernando Rodrigues Lopes,Defender,33,17/04/1988,Brazil,Bahia,1396.0,Brasileiro Série A,11,6,1,0,1,0,794,7,42,13,9,5,5,16,21,1869,21,0.005885500267522739,0.0032102728731942215,0.0005350454788657035,0.0,0.0005350454788657035,0.0,0.42482611021936867,0.003745318352059925,0.006955591225254147,0.004815409309791332,0.002675227394328518,0.002675227394328518,0.008560727661851257
10024,Lucas Fonseca,Defender,36,02/08/1985,Brazil,Bahia,1396.0,Brasileiro Série A,2,1,0,0,0,0,392,1,31,9,2,2,5,8,12,998,12,0.002004008016032064,0.001002004008016032,0.0,0.0,0.0,0.0,0.3927855711422846,0.001002004008016032,0.009018036072144289,0.002004008016032064,0.002004008016032064,0.00501002004008016,0.008016032064128256
9953,Anderson Vieira Martins,Defender,34,21/08/1987,Brazil,Bahia,1396.0,Brasileiro Série A,4,1,1,0,0,0,240,2,35,2,4,3,2,8,7,450,5,0.008888888888888889,0.0022222222222222222,0.0022222222222222222,0.0,0.0,0.0,0.5333333333333333,0.0044444444444444444,0.0044444444444444444,0.008888888888888889,0.006666666666666667,0.0044444444444444444,0.017777777777777778
10094,Rodriguinho,Midfielder,33,27/03/1988,Brazil,Bahia,1396.0,Brasileiro Série A,23,14,4,0,1,0,331,11,27,9,31,19,30,16,19,1142,15,0.020140105078809107,0.012259194395796848,0.0035026269702276708,0.0,0.0008756567425569177,0.0,0.28984238178633975,0.009632224168126095,0.00788091068301226,0.02714535901926445,0.016637478108581436,0.02626970227670753,0.014010507880910683
64032,Edson,Midfielder,23,24/04/1998,Brazil,Bahia,1396.0,Brasileiro Série A,2,0,0,0,0,0,212,2,15,12,5,3,14,6,11,491,7,0.004073319755600814,0.0,0.0,0.0,0.0,0.0,0.4317718940936864,0.004073319755600814,0.024439918533604887,0.010183299389002037,0.006109979633401222,0.028513238289205704,0.012219959266802444
10167,Ronaldo,Midfielder,25,23/10/1996,Brazil,Bahia,1396.0,Brasileiro Série A,8,2,0,0,1,0,586,5,46,43,11,7,12,29,17,1243,14,0.006436041834271922,0.0016090104585679806,0.0,0.0,0.0008045052292839903,0.0,0.47144006436041835,0.004022526146419952,0.03459372485921158,0.008849557522123894,0.0056315366049879325,0.009654062751407884,0.02333065164923572
10031,Gregore,Midfielder,27,02/03/1994,Brazil,Bahia,1396.0,Brasileiro Série A,14,4,0,0,3,0,1261,19,55,52,35,29,16,71,23,1977,23,0.0070814365199797676,0.0020232675771370764,0.0,0.0,0.0015174506828528073,0.0,0.6378351036924633,0.009610520991401113,0.026302478502781994,0.017703591299949417,0.014668689934243804,0.008093070308548306,0.035912999494183105
9888,Elias Mendes Trindade,Midfielder,36,16/05/1985,Brazil,Bahia,1396.0,Brasileiro Série A,7,0,0,0,0,0,387,5,29,16,8,4,10,18,11,792,9,0.008838383838383838,0.0,0.0,0.0,0.0,0.0,0.48863636363636365,0.006313131313131313,0.020202020202020204,0.010101010101010102,0.005050505050505051,0.012626262626262626,0.022727272727272728
80537,Fessin,Midfielder,22,04/01/1999,Brazil,Bahia,1396.0,Brasileiro Série A,10,7,1,0,0,0,153,9,9,7,12,8,9,5,14,573,7,0.017452006980802792,0.012216404886561954,0.0017452006980802793,0.0,0.0,0.0,0.2670157068062827,0.015706806282722512,0.012216404886561954,0.020942408376963352,0.013961605584642234,0.015706806282722512,0.008726003490401396
10035,Marco Antonio,Midfielder,24,01/10/1997,Brazil,Bahia,1396.0,Brasileiro Série A,6,3,1,0,2,0,131,16,16,7,13,8,23,9,17,393,2,0.015267175572519083,0.007633587786259542,0.002544529262086514,0.0,0.005089058524173028,0.0,0.3333333333333333,0.04071246819338423,0.017811704834605598,0.03307888040712468,0.020356234096692113,0.058524173027989825,0.022900763358778626
